HName	Level	STR	DEX	INTE	Exp	MonsterSummonInfo	AIType
	9	50	35	20	0	\n[({74},3)/({75},4)/({76},5)]\n	45
2	9	50	35	20	0		46
	5	20	20	11	0		47
2	5	20	20	11	0		48
	45	70	40	100	0		49
	7	40	30	20	0	\n[({38},3)/({39},4)/({40},5)]\n	50
	50	140	70	15	0		51
	32	60	50	75	0	\n[({188},3)/({189},4)/({190},5)]\n	52
	19	50	40	40	0		53
	75	160	110	30	0		54
	55	80	55	100	0		55
	25	80	50	20	0		56
	35	100	65	15	0		57
	28	50	30	75	0		58
	71	90	90	105	0		59
	65	155	87	25	0		60
2	65	155	87	25	0		61
	95	160	87	110	0		62
	68	110	50	116	0		63
	100	250	90	217	0		64
	100	255	130	30	0		65
