HName	Level	STR	DEX	INTE	Exp	MonsterSummonInfo	AIType
	1	10	10	1	0		0
	1	10	10	1	0		0
	1	10	10	1	0		0
	1	10	10	1	0		0
	1	10	10	1	0		0
	1	10	10	1	0		0
	1	10	10	1	0		0
	1	10	10	1	0		0
	1	10	10	1	0		0
	1	10	10	1	0		0
	1	15	10	1	0		1
	1	15	10	1	0		1
	1	15	10	1	0		1
	1	15	10	1	0		1
	1	15	10	1	0		1
	1	15	10	1	0		1
	1	15	10	1	0		1
	1	15	10	1	0		1
	1	15	10	1	0		1
	1	15	10	1	0		1
	1	20	10	1	0		3
	1	20	10	1	0		3
	1	20	10	1	0		3
	1	20	10	1	0		3
	1	20	10	1	0		3
	1	20	10	1	0		3
	1	20	10	1	0		3
	1	20	10	1	0		3
	1	20	10	1	0		3
	1	20	10	1	0		3
	2	30	20	10	0		2
	2	30	20	10	0		2
	2	30	20	10	0		2
	2	30	20	10	0		2
	2	30	20	10	0		2
	2	30	20	10	0		2
	2	30	20	10	0		2
	2	30	20	10	0		2
	2	30	20	10	0		2
	2	30	20	10	0		2
	5	40	25	10	0		4
	5	40	25	10	0		4
	5	40	25	10	0		4
	5	40	25	10	0		4
	5	40	25	10	0		4
	5	40	25	10	0		4
	5	40	25	10	0		4
	5	40	25	10	0		4
	5	40	25	10	0		4
	5	40	25	10	0		4
	10	50	30	10	0		5
	10	50	30	10	0		5
	10	50	30	10	0		5
	10	50	30	10	0		5
	10	50	30	10	0		5
	10	50	30	10	0		5
	10	50	30	10	0		5
	10	50	30	10	0		5
	10	50	30	10	0		5
	10	50	30	10	0		5
	14	40	30	30	0		7
	14	40	30	30	0		7
	14	40	30	30	0		7
	14	40	30	30	0		7
	14	40	30	30	0		7
	14	40	30	30	0		7
	14	40	30	30	0		7
	14	40	30	30	0		7
	14	40	30	30	0		7
	14	40	30	30	0		7
	15	60	30	10	0		20
	15	60	30	10	0		20
	15	60	30	10	0		20
	15	60	30	10	0		20
	15	60	30	10	0		20
	15	60	30	10	0		20
	15	60	30	10	0		20
	15	60	30	10	0		20
	15	60	30	10	0		20
	15	60	30	10	0		20
	18	30	20	60	0		9
	18	30	20	60	0		9
	18	30	20	60	0		9
	18	30	20	60	0		9
	18	30	20	60	0		9
	18	30	20	60	0		9
	18	30	20	60	0		9
	18	30	20	60	0		9
	18	30	20	60	0		9
	18	30	20	60	0		9
	20	70	40	10	0		14
	20	70	40	10	0		14
	20	70	40	10	0		14
	20	70	40	10	0		14
	20	70	40	10	0		14
	20	70	40	10	0		14
	20	70	40	10	0		14
	20	70	40	10	0		14
	20	70	40	10	0		14
	20	70	40	10	0		14
	23	40	20	65	0		15
	23	40	20	65	0		15
	23	40	20	65	0		15
	23	40	20	65	0		15
	23	40	20	65	0		15
	23	40	20	65	0		15
	23	40	20	65	0		15
	23	40	20	65	0		15
	23	40	20	65	0		15
	23	40	20	65	0		15
	25	55	30	55	0		18
	25	55	30	55	0		18
	25	55	30	55	0		18
	25	55	30	55	0		18
	25	55	30	55	0		18
	25	55	30	55	0		18
	25	55	30	55	0		18
	25	55	30	55	0		18
